ダウンロードした時刻：2026/09/14 06:45:42

,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2024/12/22 9:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,8.5,8,1,0,1,8,1,53,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/22 10:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,10.0,8,1,0,1,8,1,44,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 11:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,10.3,8,1,0,1,8,1,36,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 12:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,10.4,8,1,0,1,8,1,39,8,1,2,8,1,0,1,8,1,0,1,8,1
2024/12/22 13:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,9.5,8,1,0,1,8,1,37,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 14:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,8.8,8,1,0,1,8,1,35,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 15:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,7.8,8,1,0,1,8,1,34,8,1,2,8,1,0,1,8,1,0,1,8,1
2024/12/22 16:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,6.9,8,1,0,1,8,1,34,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 17:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,6.1,8,1,0,1,8,1,36,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 18:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,5.0,8,1,0,1,8,1,43,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/22 19:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,4.4,8,1,0,1,8,1,47,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 20:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.9,8,1,0,1,8,1,52,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 21:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.3,8,1,0,1,8,1,54,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/22 22:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.3,8,1,0,1,8,1,54,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 23:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.6,8,1,0,1,8,1,51,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 00:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.2,8,1,0,1,8,1,53,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 1:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.6,8,1,0,1,8,1,47,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 2:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.5,8,1,0,1,8,1,45,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 3:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.4,8,1,0,1,8,1,41,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/23 4:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,2.6,8,1,0,1,8,1,44,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 5:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,2.8,8,1,0,1,8,1,41,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 6:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.1,8,1,0,1,8,1,39,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/23 7:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.1,8,1,0,1,8,1,40,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 8:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,3.8,8,1,0,1,8,1,40,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 9:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,6.2,8,1,0,1,8,1,32,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/23 10:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,8.1,8,1,0,1,8,1,27,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 11:00:00,,1,1,,1,1,,1,1,,0,1,,0,1,,0,1,9.0,8,1,0,1,8,1,22,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 12:00:00,,1,1,,1,1,,1,1,,0,1,,0,1,,0,1,9.6,8,1,0,1,8,1,21,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/23 13:00:00,,1,1,,1,1,,1,1,,0,1,,0,1,,0,1,10.5,8,1,0,1,8,1,23,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 14:00:00,,1,1,,1,1,,1,1,,0,1,,0,1,,0,1,10.6,8,1,0,1,8,1,25,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 15:00:00,,1,1,,1,1,,1,1,,0,1,,0,1,,0,1,9.9,8,1,0,1,8,1,30,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/23 16:00:00,,1,1,,1,1,,1,1,,0,1,,0,1,,0,1,8.9,8,1,0,1,8,1,35,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 17:00:00,7.2,8,1,0.0,4,1,44,8,1,,0,1,,0,1,,0,1,7.2,8,1,0,1,8,1,47,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 18:00:00,4.6,8,1,0.0,8,1,55,8,1,,0,1,,0,1,,0,1,6.4,8,1,0,1,8,1,58,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/23 19:00:00,3.5,8,1,0.0,8,1,58,8,1,,0,1,,0,1,,0,1,6.4,8,1,0,1,8,1,61,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 20:00:00,1.6,8,1,0.0,8,1,67,8,1,,0,1,,0,1,,0,1,6.8,8,1,0,1,8,1,48,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 21:00:00,1.7,8,1,0.0,8,1,68,8,1,,0,1,,0,1,,0,1,6.7,8,1,0,1,8,1,40,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/23 22:00:00,0.9,8,1,0.0,8,1,72,8,1,,0,1,,0,1,,0,1,5.5,8,1,0,1,8,1,43,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/23 23:00:00,0.3,8,1,0.0,8,1,77,8,1,,0,1,,0,1,,0,1,5.5,8,1,0,1,8,1,48,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 00:00:00,-0.4,8,1,0.0,8,1,79,8,1,,0,1,,0,1,,0,1,3.8,8,1,0,1,8,1,57,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 1:00:00,-0.3,8,1,0.0,8,1,75,8,1,,0,1,,0,1,,0,1,2.9,8,1,0,1,8,1,64,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 2:00:00,-0.6,8,1,0.0,8,1,77,8,1,,0,1,,0,1,,0,1,2.6,8,1,0,1,8,1,67,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 3:00:00,-1.8,8,1,0.0,8,1,82,8,1,,0,1,,0,1,,0,1,2.5,8,1,0,1,8,1,68,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/24 4:00:00,-1.7,8,1,0.0,8,1,81,8,1,,0,1,,0,1,,0,1,2.4,8,1,0,1,8,1,70,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 5:00:00,-2.5,8,1,0.0,8,1,84,8,1,,0,1,,0,1,,0,1,2.6,8,1,0,1,8,1,71,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 6:00:00,-2.1,8,1,0.0,8,1,83,8,1,,0,1,,0,1,,0,1,2.8,8,1,0,1,8,1,72,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/24 7:00:00,-1.8,8,1,0.0,8,1,80,8,1,,0,1,,0,1,,0,1,2.2,8,1,0,1,8,1,75,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 8:00:00,0.2,8,1,0.0,8,1,72,8,1,,0,1,,0,1,,0,1,3.7,8,1,0,1,8,1,70,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 9:00:00,5.0,8,1,0.0,8,1,53,8,1,,0,1,,0,1,,0,1,5.8,8,1,0,1,8,1,59,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/24 10:00:00,7.8,8,1,0.0,8,1,42,8,1,,0,1,,0,1,,0,1,8.8,8,1,0,1,8,1,42,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 11:00:00,9.3,8,1,0.0,8,1,36,8,1,,0,1,,0,1,,0,1,10.0,8,1,0,1,8,1,36,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 12:00:00,10.6,8,1,0.0,8,1,31,8,1,,0,1,,0,1,,0,1,11.4,8,1,0,1,8,1,33,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/24 13:00:00,11.0,8,1,0.0,8,1,29,8,1,,0,1,,0,1,,0,1,11.3,8,1,0,1,8,1,31,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 14:00:00,10.7,8,1,0.0,8,1,28,8,1,,0,1,,0,1,,0,1,11.4,8,1,0,1,8,1,28,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 15:00:00,9.8,8,1,0.0,8,1,31,8,1,,0,1,,0,1,,0,1,11.2,8,1,0,1,8,1,27,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/24 16:00:00,9.9,8,1,0.0,8,1,31,8,1,,0,1,,0,1,,0,1,9.9,8,1,0,1,8,1,30,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 17:00:00,7.7,8,1,0.0,8,1,44,8,1,,0,1,,0,1,,0,1,9.3,8,1,0,1,8,1,32,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 18:00:00,5.7,8,1,0.0,8,1,54,8,1,,0,1,,0,1,,0,1,8.3,8,1,0,1,8,1,35,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/24 19:00:00,3.6,8,1,0.0,8,1,65,8,1,,0,1,,0,1,,0,1,7.9,8,1,0,1,8,1,37,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 20:00:00,3.0,8,1,0.0,8,1,66,8,1,,0,1,,0,1,,0,1,7.6,8,1,0,1,8,1,35,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 21:00:00,1.9,8,1,0.0,8,1,74,8,1,,0,1,,0,1,,0,1,6.8,8,1,0,1,8,1,39,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/24 22:00:00,1.0,8,1,0.0,8,1,78,8,1,,0,1,,0,1,,0,1,6.2,8,1,0,1,8,1,42,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/24 23:00:00,0.4,8,1,0.0,8,1,81,8,1,,0,1,,0,1,,0,1,7.3,8,1,0,1,8,1,34,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/25 00:00:00,-1.2,8,1,0.0,8,1,87,8,1,,0,1,,0,1,,0,1,7.0,8,1,0,1,8,1,35,8,1,,0,1,0,1,8,1,0,1,8,1
